size,Triton,Torch
4096.000000,6.857143,8.000000
8192.000000,15.999999,15.999999
16384.000000,27.428571,27.428571
32768.000000,48.000000,54.857142
65536.000000,76.800002,76.800002
131072.000000,109.714284,109.714284
262144.000000,127.999995,122.880003
524288.000000,131.159439,134.986609
1048576.000000,154.353683,155.575072
2097152.000000,155.544308,156.535030
4194304.000000,163.295685,162.754967
8388608.000000,168.041034,167.468487
16777216.000000,170.687514,170.076131
33554432.000000,172.312014,171.635095
67108864.000000,173.434805,172.652470
134217728.000000,174.047137,172.614565
